hotel,lead_time,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,total_nights,total_guests,arrival_date_num,stay_type,is_canceled
Resort Hotel,229,May,0,0,2,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,5,No Deposit,0.0,223.0,0,Transient-Party,0.0,0,0,0,2.0,5,Short Stay,0
Resort Hotel,9,April,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240.0,0.0,0,Transient,65.0,0,0,1,2.0,4,Short Stay,1
City Hotel,14,September,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,0,Contract,111.33,0,1,3,2.0,9,Short Stay,0
City Hotel,443,April,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,3.0,0.0,0,Transient,65.0,0,0,1,2.0,4,Short Stay,1
Resort Hotel,154,August,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,2,No Deposit,240.0,0.0,0,Transient,209.8,1,1,2,2.0,8,Short Stay,0
City Hotel,1,June,0,1,2,2.0,0,BB,PRT,Complementary,Direct,0,0,0,G,0,No Deposit,45.0,0.0,0,Transient,0.0,0,0,1,4.0,6,Short Stay,0
Resort Hotel,88,October,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,1,No Deposit,243.0,0.0,0,Contract,50.03,0,2,7,2.0,10,Medium Stay,0
Resort Hotel,60,May,1,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,C,0,No Deposit,242.0,0.0,0,Transient,125.0,0,1,6,2.0,5,Medium Stay,1
Resort Hotel,147,July,1,4,2,0.0,0,BB,FIN,Online TA,TA/TO,0,0,0,E,0,No Deposit,240.0,0.0,0,Transient,149.0,0,1,5,2.0,7,Medium Stay,0
City Hotel,39,June,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,0,No Deposit,9.0,0.0,0,Transient,153.0,0,0,3,2.0,6,Short Stay,0
City Hotel,143,May,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,151.0,0.0,0,Transient,100.0,0,0,3,2.0,5,Short Stay,1
City Hotel,105,October,1,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,21.0,0.0,0,Transient,110.0,0,0,3,2.0,10,Short Stay,1
City Hotel,386,October,2,0,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,6.0,0.0,0,Transient-Party,115.0,0,1,2,2.0,10,Short Stay,0
City Hotel,101,June,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,0,No Deposit,9.0,0.0,0,Transient,184.63,0,0,7,2.0,6,Medium Stay,1
City Hotel,39,May,1,0,2,0.0,0,SC,JPN,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,0,Transient,149.0,0,0,1,2.0,5,Short Stay,1
City Hotel,138,April,2,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,2,No Deposit,9.0,0.0,0,Transient,90.95,0,0,4,2.0,4,Medium Stay,0
City Hotel,116,March,0,2,1,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,1,No Deposit,171.0,0.0,0,Transient-Party,90.0,0,0,2,1.0,3,Short Stay,0
City Hotel,7,October,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,0,No Deposit,7.0,0.0,0,Transient,123.2,0,1,3,2.0,10,Short Stay,0
City Hotel,21,March,0,1,2,0.0,0,HB,SVN,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,0,Transient-Party,129.0,0,0,1,2.0,3,Short Stay,1
Resort Hotel,121,August,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,242.0,0.0,0,Transient,189.0,0,0,3,2.0,8,Short Stay,1
Resort Hotel,181,October,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,11.0,0.0,0,Transient,37.0,0,0,3,2.0,10,Short Stay,1
Resort Hotel,68,September,2,3,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,A,0,No Deposit,241.0,0.0,0,Transient,69.91,1,1,5,2.0,9,Medium Stay,0
City Hotel,207,July,1,4,2,0.0,0,BB,BEL,Direct,Direct,0,0,0,A,0,No Deposit,14.0,0.0,0,Transient,80.75,0,0,5,2.0,7,Medium Stay,0
Resort Hotel,106,September,2,4,3,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,8.0,0.0,0,Contract,95.82,0,2,6,3.0,9,Medium Stay,0
City Hotel,60,September,2,5,3,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,0,No Deposit,15.0,0.0,0,Transient,167.04,0,0,7,3.0,9,Medium Stay,0
City Hotel,99,April,2,6,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,121.0,0.0,0,Transient-Party,80.75,0,1,8,2.0,4,Long Stay,0
City Hotel,2,June,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,B,1,No Deposit,14.0,0.0,0,Transient,159.5,0,0,1,2.0,6,Short Stay,0
City Hotel,44,June,1,5,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,0,Transient,117.9,0,1,6,2.0,6,Medium Stay,0
Resort Hotel,115,July,2,9,2,0.0,0,BB,HUN,Online TA,TA/TO,0,0,0,E,2,No Deposit,240.0,0.0,0,Transient-Party,217.82,0,1,11,2.0,7,Long Stay,0
City Hotel,299,August,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,0,Non Refund,1.0,0.0,0,Transient-Party,62.0,0,0,2,2.0,8,Short Stay,1
Resort Hotel,112,July,2,3,2,0.0,0,BB,USA,Direct,Direct,0,0,0,F,0,No Deposit,250.0,0.0,0,Transient,246.0,0,1,5,2.0,7,Medium Stay,0
City Hotel,61,September,2,2,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,2,No Deposit,1.0,0.0,0,Transient-Party,62.0,0,0,4,2.0,9,Medium Stay,0
Resort Hotel,35,February,2,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,171.0,0.0,0,Transient,60.0,0,0,3,2.0,2,Short Stay,1
City Hotel,85,July,1,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,0,No Deposit,7.0,0.0,0,Transient,91.48,0,1,5,2.0,7,Medium Stay,0
City Hotel,552,January,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,1.0,0.0,0,Transient,62.0,0,0,2,2.0,1,Short Stay,1
Resort Hotel,1,May,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,1,0,1,A,0,No Deposit,240.0,0.0,0,Transient,67.5,0,2,1,1.0,5,Short Stay,0
City Hotel,220,August,1,1,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,0,Transient,85.5,0,0,2,2.0,8,Short Stay,0
City Hotel,87,April,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,1.0,0.0,0,Transient,95.0,0,0,4,2.0,4,Medium Stay,1
City Hotel,192,June,0,2,1,0.0,0,BB,SRB,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,34.0,0.0,0,Transient-Party,95.0,0,0,2,1.0,6,Short Stay,0
City Hotel,49,February,1,2,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,0,Transient,113.4,0,1,3,3.0,2,Short Stay,1
City Hotel,52,June,1,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,0,No Deposit,14.0,0.0,0,Transient,89.1,0,0,3,2.0,6,Short Stay,0
City Hotel,242,July,0,2,2,0.0,0,BB,BEL,Direct,Direct,0,0,0,B,0,No Deposit,14.0,0.0,0,Transient-Party,81.45,0,0,2,2.0,7,Short Stay,0
City Hotel,1,October,2,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,0,Transient,145.0,0,2,4,2.0,10,Medium Stay,0
Resort Hotel,98,August,2,4,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,1,No Deposit,5.0,0.0,0,Transient,197.2,1,0,6,2.0,8,Medium Stay,0
City Hotel,248,April,2,0,2,0.0,0,BB,DEU,Groups,TA/TO,0,0,0,A,0,No Deposit,58.0,0.0,0,Transient-Party,80.0,0,1,2,2.0,4,Short Stay,0
City Hotel,0,February,0,1,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,0,Transient,79.0,0,0,1,2.0,2,Short Stay,1
City Hotel,5,April,1,1,1,0.0,0,SC,GBR,Offline TA/TO,GDS,0,0,0,A,0,No Deposit,195.0,0.0,0,Transient,99.0,0,1,2,1.0,4,Short Stay,0
City Hotel,2,September,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,0,No Deposit,0.0,0.0,0,Transient,120.0,0,0,2,2.0,9,Short Stay,1
City Hotel,96,June,0,3,3,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,E,1,No Deposit,9.0,0.0,0,Transient,216.0,0,2,3,3.0,6,Short Stay,0
Resort Hotel,136,March,0,3,2,0.0,0,Undefined,ESP,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,387.0,0.0,0,Transient-Party,84.0,0,0,3,2.0,3,Short Stay,0
City Hotel,323,May,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,1.0,0.0,0,Transient,62.0,0,0,2,2.0,5,Short Stay,1
City Hotel,81,April,2,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,0,Transient,90.95,0,0,5,2.0,4,Medium Stay,1
City Hotel,170,September,0,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,24.0,0.0,0,Transient-Party,96.9,0,2,1,2.0,9,Short Stay,0
Resort Hotel,73,August,2,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,2,No Deposit,240.0,0.0,0,Transient,205.0,0,0,5,2.0,8,Medium Stay,1
City Hotel,116,March,0,2,1,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,1,No Deposit,171.0,0.0,0,Transient-Party,90.0,0,0,2,1.0,3,Short Stay,0
City Hotel,229,August,0,2,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,0,Transient,139.5,1,1,2,2.0,8,Short Stay,0
Resort Hotel,74,April,2,5,1,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,2,No Deposit,91.0,0.0,0,Transient-Party,37.43,0,0,7,1.0,4,Medium Stay,0
Resort Hotel,136,August,1,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,0,No Deposit,240.0,0.0,0,Transient,179.1,1,1,6,2.0,8,Medium Stay,0
City Hotel,44,February,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,44.0,0.0,3,Transient,75.0,0,0,3,2.0,2,Short Stay,1
City Hotel,140,June,1,3,2,0.0,0,BB,DEU,Direct,Direct,0,0,0,D,0,No Deposit,14.0,0.0,0,Transient,113.48,0,0,4,2.0,6,Medium Stay,0
City Hotel,135,December,2,1,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,0,No Deposit,1.0,0.0,0,Transient-Party,62.0,0,0,3,2.0,12,Short Stay,0
Resort Hotel,199,May,1,1,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,0,No Deposit,298.0,0.0,0,Transient,85.0,0,0,2,2.0,5,Short Stay,0
City Hotel,9,June,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,0,Transient,123.33,0,0,3,2.0,6,Short Stay,1
City Hotel,69,June,2,4,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,236.0,0.0,0,Transient,120.0,0,0,6,1.0,6,Medium Stay,1
Resort Hotel,14,March,1,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240.0,0.0,0,Transient,52.0,1,0,2,1.0,3,Short Stay,0
Resort Hotel,57,January,2,5,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,1,No Deposit,240.0,0.0,0,Transient,42.0,0,1,7,2.0,1,Medium Stay,0
Resort Hotel,169,March,0,3,2,0.0,0,BB,GBR,Groups,Direct,0,0,0,A,1,Refundable,0.0,223.0,0,Transient-Party,66.0,0,0,3,2.0,3,Short Stay,0
City Hotel,0,October,1,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,1,No Deposit,0.0,0.0,0,Transient,77.0,0,0,1,2.0,10,Short Stay,0
City Hotel,34,January,0,1,1,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,0,No Deposit,19.0,0.0,0,Transient-Party,75.0,0,0,1,1.0,1,Short Stay,0
Resort Hotel,0,January,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,0,No Deposit,0.0,0.0,0,Transient,64.0,0,0,1,2.0,1,Short Stay,0
City Hotel,32,November,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,119.0,0.0,0,Transient-Party,73.0,0,0,2,1.0,11,Short Stay,0
City Hotel,67,April,1,1,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,0,No Deposit,9.0,0.0,0,Transient,180.0,1,1,2,3.0,4,Short Stay,0
City Hotel,9,October,1,0,2,0.0,0,BB,PRT,Complementary,Corporate,0,0,0,A,0,No Deposit,0.0,334.0,0,Transient,0.0,0,1,1,2.0,10,Short Stay,0
Resort Hotel,196,December,1,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,1,No Deposit,0.0,308.0,0,Transient-Party,180.0,0,0,3,2.0,12,Short Stay,1
Resort Hotel,152,August,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,6,E,0,No Deposit,240.0,0.0,0,Transient,254.0,1,4,2,2.0,8,Short Stay,0
City Hotel,7,August,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,1,No Deposit,0.0,40.0,0,Transient,65.0,0,0,1,1.0,8,Short Stay,0
Resort Hotel,0,December,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,241.0,0.0,0,Transient,72.43,0,0,1,2.0,12,Short Stay,0
Resort Hotel,183,April,1,1,1,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,1,No Deposit,298.0,0.0,0,Transient-Party,54.5,0,0,2,1.0,4,Short Stay,0
Resort Hotel,1,June,0,1,2,0.0,0,BB,Unkown,Direct,Direct,0,0,0,A,0,No Deposit,0.0,51.0,0,Transient,79.0,1,0,1,2.0,6,Short Stay,0
City Hotel,176,September,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,7.0,0.0,0,Transient,97.71,0,0,1,2.0,9,Short Stay,1
City Hotel,0,August,1,0,2,0.0,0,SC,RUS,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,0,Transient,98.0,0,1,1,2.0,8,Short Stay,1
City Hotel,286,May,0,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,No Deposit,30.0,0.0,176,Transient-Party,101.0,0,0,4,2.0,5,Medium Stay,1
City Hotel,95,September,1,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,0,No Deposit,9.0,0.0,0,Transient,149.4,0,1,3,2.0,9,Short Stay,0
City Hotel,74,September,0,2,1,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,6.0,0.0,0,Transient-Party,87.0,0,0,2,1.0,9,Short Stay,0
City Hotel,81,April,0,2,2,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,0,No Deposit,0.0,0.0,0,Transient,0.0,0,0,2,2.0,4,Short Stay,0
Resort Hotel,10,February,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240.0,0.0,0,Transient,64.0,1,1,2,2.0,2,Short Stay,0
City Hotel,36,September,0,3,1,0.0,0,BB,DEU,Groups,TA/TO,0,0,0,A,2,No Deposit,21.0,0.0,0,Transient-Party,76.0,0,0,3,1.0,9,Short Stay,0
City Hotel,96,September,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,16.0,0.0,0,Transient,90.95,0,0,3,2.0,9,Short Stay,0
City Hotel,161,October,2,3,3,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,7.0,0.0,0,Transient,108.8,0,2,5,3.0,10,Medium Stay,0
Resort Hotel,66,December,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240.0,0.0,0,Transient,43.2,0,1,2,2.0,12,Short Stay,0
City Hotel,18,July,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,No Deposit,1.0,0.0,0,Transient-Party,75.0,0,0,2,2.0,7,Short Stay,0
City Hotel,6,May,0,1,1,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,D,0,No Deposit,0.0,227.0,0,Transient,110.0,0,0,1,1.0,5,Short Stay,0
Resort Hotel,0,October,0,1,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,240.0,0.0,0,Transient,86.0,1,0,1,1.0,10,Short Stay,0
City Hotel,95,November,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,No Deposit,0.0,0.0,0,Transient-Party,75.0,0,0,1,1.0,11,Short Stay,1
City Hotel,219,June,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,20.0,0.0,0,Transient,105.0,0,0,3,2.0,6,Short Stay,1
Resort Hotel,84,November,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,0,No Deposit,241.0,0.0,0,Transient,29.11,0,1,1,2.0,11,Short Stay,0
City Hotel,229,July,1,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,0.0,0.0,0,Transient,110.0,0,0,5,2.0,7,Medium Stay,1
Resort Hotel,3,October,2,5,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,0,No Deposit,250.0,0.0,0,Transient,36.0,0,0,7,2.0,10,Medium Stay,1
City Hotel,19,September,2,4,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,0,No Deposit,7.0,0.0,0,Transient,150.02,0,1,6,3.0,9,Medium Stay,1
City Hotel,38,June,0,3,1,1.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,0,No Deposit,7.0,0.0,0,Transient,121.0,0,2,3,2.0,6,Short Stay,0
Resort Hotel,76,March,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240.0,0.0,0,Transient,56.0,0,0,3,2.0,3,Short Stay,1
City Hotel,0,December,0,2,2,2.0,0,BB,GBR,Online TA,TA/TO,1,0,0,F,4,No Deposit,9.0,0.0,0,Transient,178.5,0,1,2,4.0,12,Short Stay,0
City Hotel,0,December,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,1,No Deposit,0.0,0.0,0,Transient,95.0,0,0,1,2.0,12,Short Stay,0
City Hotel,1,September,0,0,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,1,A,0,No Deposit,94.0,0.0,0,Transient,0.0,0,1,0,1.0,9,Short Stay,0
City Hotel,117,April,0,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,170.0,0.0,0,Transient,93.5,0,0,4,2.0,4,Medium Stay,1
City Hotel,0,July,2,5,2,0.0,0,SC,PRT,Direct,Direct,0,0,0,F,4,No Deposit,0.0,0.0,0,Transient,0.0,0,0,7,2.0,7,Medium Stay,0
City Hotel,3,September,1,2,1,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,D,0,No Deposit,0.0,174.0,0,Transient,110.0,0,0,3,1.0,9,Short Stay,0
City Hotel,144,September,2,3,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,0,Transient,129.6,0,2,5,2.0,9,Medium Stay,0
Resort Hotel,73,November,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,314.0,0.0,0,Transient,30.24,0,0,3,2.0,11,Short Stay,0
City Hotel,313,August,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,0,Non Refund,1.0,0.0,0,Transient-Party,62.0,0,0,2,2.0,8,Short Stay,1
City Hotel,34,March,2,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,0,No Deposit,9.0,0.0,0,Transient,100.3,0,1,4,2.0,3,Medium Stay,0
City Hotel,145,April,2,4,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,1,No Deposit,11.0,0.0,0,Transient,69.56,0,0,6,2.0,4,Medium Stay,0
City Hotel,332,September,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,0,Non Refund,1.0,0.0,0,Contract,62.0,0,0,2,2.0,9,Short Stay,1
City Hotel,19,October,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,0,A,0,No Deposit,82.0,0.0,0,Transient-Party,90.0,0,0,3,2.0,10,Short Stay,0
City Hotel,16,December,0,2,2,0.0,0,BB,BRA,Direct,Direct,0,0,0,D,0,No Deposit,14.0,0.0,0,Transient,140.0,0,0,2,2.0,12,Short Stay,0
Resort Hotel,315,July,3,5,3,1.0,0,BB,BEL,Online TA,TA/TO,0,0,0,H,0,No Deposit,240.0,0.0,0,Transient,242.75,0,0,8,4.0,7,Long Stay,1
Resort Hotel,148,April,1,3,2,1.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,240.0,0.0,0,Transient,111.25,0,2,4,3.0,4,Medium Stay,1
Resort Hotel,93,July,2,5,2,0.0,0,BB,ROU,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,11.0,0.0,0,Transient,123.0,0,0,7,2.0,7,Medium Stay,0
Resort Hotel,299,July,2,10,1,0.0,0,HB,DEU,Online TA,TA/TO,0,0,0,E,0,No Deposit,240.0,0.0,0,Transient,201.6,0,2,12,1.0,7,Long Stay,1
City Hotel,92,June,2,2,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,0,No Deposit,9.0,0.0,0,Transient,189.0,0,1,4,3.0,6,Medium Stay,0
Resort Hotel,37,November,2,1,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,1,No Deposit,177.0,0.0,0,Transient,30.6,0,0,3,2.0,11,Short Stay,0
Resort Hotel,1,December,2,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,306.0,0.0,0,Transient,27.6,0,0,4,2.0,12,Medium Stay,0
Resort Hotel,199,May,1,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,0,No Deposit,298.0,0.0,0,Transient-Party,85.0,0,0,2,2.0,5,Short Stay,1
City Hotel,125,June,2,1,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,0,No Deposit,9.0,0.0,0,Transient-Party,126.0,0,0,3,1.0,6,Short Stay,0
Resort Hotel,225,July,3,7,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,5.0,0.0,0,Transient,115.76,0,0,10,2.0,7,Long Stay,0
City Hotel,379,October,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,0,Non Refund,1.0,0.0,0,Transient,62.0,0,0,2,2.0,10,Short Stay,1
City Hotel,0,August,0,1,1,0.0,0,BB,BRA,Direct,Direct,0,0,0,A,0,No Deposit,0.0,0.0,0,Transient,140.0,0,0,1,1.0,8,Short Stay,0
City Hotel,9,May,2,0,1,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,0,No Deposit,7.0,0.0,0,Transient,97.02,0,1,2,1.0,5,Short Stay,0
City Hotel,14,April,2,1,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,0,Transient,127.67,0,0,3,3.0,4,Short Stay,1
Resort Hotel,45,December,2,1,2,0.0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,0,No Deposit,38.0,0.0,0,Transient-Party,68.0,0,0,3,2.0,12,Short Stay,1
Resort Hotel,7,March,0,1,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,0,No Deposit,241.0,0.0,0,Transient,36.96,0,1,1,2.0,3,Short Stay,0
Resort Hotel,73,May,1,5,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,0,No Deposit,0.0,0.0,0,Transient,127.3,0,0,6,2.0,5,Medium Stay,0
